frame,time_s,preview_visible,float_found,tip_y,cx,cy,area
2310,38.553,0,0,0,0,0,0
2316,38.653,0,0,0,0,0,0
2322,38.753,0,0,0,0,0,0
2328,38.854,0,0,0,0,0,0
2334,38.954,0,0,0,0,0,0
2340,39.054,0,0,0,0,0,0
2346,39.154,0,0,0,0,0,0
2352,39.254,0,0,0,0,0,0
2358,39.354,0,0,0,0,0,0
2364,39.454,0,0,0,0,0,0
2370,39.555,0,0,0,0,0,0
2376,39.655,0,0,0,0,0,0
2382,39.755,0,0,0,0,0,0
2388,39.855,0,0,0,0,0,0
2394,39.955,0,0,0,0,0,0
2400,40.055,0,0,0,0,0,0
2406,40.155,0,0,0,0,0,0
2412,40.256,0,0,0,0,0,0
2418,40.356,0,0,0,0,0,0
2424,40.456,0,0,0,0,0,0
2430,40.556,0,0,0,0,0,0
2436,40.656,0,0,0,0,0,0
2442,40.756,0,0,0,0,0,0
2448,40.856,0,0,0,0,0,0
2454,40.957,0,0,0,0,0,0
2460,41.057,0,0,0,0,0,0
2466,41.157,0,0,0,0,0,0
2472,41.257,0,0,0,0,0,0
2478,41.357,0,0,0,0,0,0
2484,41.457,0,0,0,0,0,0
2490,41.557,0,0,0,0,0,0
2496,41.657,0,0,0,0,0,0
2502,41.758,0,0,0,0,0,0
2508,41.858,0,0,0,0,0,0
2514,41.958,0,0,0,0,0,0
2520,42.058,0,0,0,0,0,0
2526,42.158,0,0,0,0,0,0
2532,42.258,0,0,0,0,0,0
2538,42.358,0,0,0,0,0,0
2544,42.459,0,0,0,0,0,0
2550,42.559,0,0,0,0,0,0
2556,42.659,0,0,0,0,0,0
2562,42.759,0,0,0,0,0,0
2568,42.859,0,0,0,0,0,0
2574,42.959,0,0,0,0,0,0
2580,43.059,0,0,0,0,0,0
2586,43.160,0,0,0,0,0,0
2592,43.260,0,0,0,0,0,0
2598,43.360,0,0,0,0,0,0
2604,43.460,0,0,0,0,0,0
2610,43.560,0,0,0,0,0,0
2616,43.660,0,0,0,0,0,0
2622,43.760,0,0,0,0,0,0
2628,43.861,0,0,0,0,0,0
2634,43.961,0,0,0,0,0,0
